Date : 2024-05-25 00:55:29
Directory : g:\flutter_projects\e_learning
Total : 230 files,  10457 codes, 385 comments, 928 blanks, all 11770 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        148 |      4,883 |        120 |        624 |      5,627 |
| XML        |         46 |      4,535 |         53 |         43 |      4,631 |
| C++        |         16 |        539 |        127 |        188 |        854 |
| JSON       |          4 |        248 |          0 |          4 |        252 |
| Gradle     |          3 |         89 |          5 |         20 |        114 |
| Swift      |          6 |         58 |          7 |         20 |         85 |
| YAML       |          2 |         46 |         57 |         12 |        115 |
| HTML       |          1 |         38 |         16 |          6 |         60 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                             |        230 |     10,457 |        385 |        928 |     11,770 |
| . (Files)                                                                                                     |          3 |         56 |         57 |         19 |        132 |
| android                                                                                                       |         12 |        164 |         56 |         31 |        251 |
| android (Files)                                                                                               |          3 |         41 |          0 |          9 |         50 |
| android\app                                                                                                   |          8 |        118 |         56 |         21 |        195 |
| android\app (Files)                                                                                           |          1 |         51 |          5 |         12 |         68 |
| android\app\src                                                                                               |          7 |         67 |         51 |          9 |        127 |
| android\app\src\debug                                                                                         |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                          |          5 |         61 |         43 |          7 |        111 |
| android\app\src\main (Files)                                                                                  |          1 |         35 |         11 |          1 |         47 |
| android\app\src\main\res                                                                                      |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                             |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                         |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                               |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                         |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                       |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                                |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                        |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                        |         36 |      4,064 |          0 |         31 |      4,095 |
| assets\images                                                                                                 |         36 |      4,064 |          0 |         31 |      4,095 |
| ios                                                                                                           |          8 |        229 |          4 |         13 |        246 |
| ios\Runner                                                                                                    |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                                            |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                               |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                                    |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                 |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                               |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                         |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                           |        147 |      4,869 |        110 |        617 |      5,596 |
| lib (Files)                                                                                                   |          2 |         77 |          0 |         11 |         88 |
| lib\common                                                                                                    |         14 |        819 |        109 |        122 |      1,050 |
| lib\common\helpers                                                                                            |          1 |         18 |          0 |          2 |         20 |
| lib\common\models                                                                                             |          1 |          6 |          0 |          1 |          7 |
| lib\common\routing                                                                                            |          1 |        157 |          1 |          3 |        161 |
| lib\common\utils                                                                                              |          3 |        193 |        106 |         77 |        376 |
| lib\common\widgets                                                                                            |          8 |        445 |          2 |         39 |        486 |
| lib\features                                                                                                  |        131 |      3,973 |          1 |        484 |      4,458 |
| lib\features\auth                                                                                             |         27 |        571 |          0 |         92 |        663 |
| lib\features\auth\ui                                                                                          |         27 |        571 |          0 |         92 |        663 |
| lib\features\auth\ui\views                                                                                    |          4 |        176 |          0 |         16 |        192 |
| lib\features\auth\ui\widgets                                                                                  |         23 |        395 |          0 |         76 |        471 |
| lib\features\intro                                                                                            |          6 |        225 |          0 |         26 |        251 |
| lib\features\intro\data                                                                                       |          1 |         26 |          0 |          4 |         30 |
| lib\features\intro\data\models                                                                                |          1 |         26 |          0 |          4 |         30 |
| lib\features\intro\ui                                                                                         |          5 |        199 |          0 |         22 |        221 |
| lib\features\intro\ui\views                                                                                   |          1 |         84 |          0 |          9 |         93 |
| lib\features\intro\ui\widgets                                                                                 |          4 |        115 |          0 |         13 |        128 |
| lib\features\layout                                                                                           |         97 |      3,129 |          1 |        359 |      3,489 |
| lib\features\layout\home                                                                                      |         37 |      1,014 |          0 |        140 |      1,154 |
| lib\features\layout\home\cubit                                                                                |          2 |         32 |          0 |         11 |         43 |
| lib\features\layout\home\data                                                                                 |          3 |        204 |          0 |         14 |        218 |
| lib\features\layout\home\data\models                                                                          |          2 |         64 |          0 |          5 |         69 |
| lib\features\layout\home\data\view_model                                                                      |          1 |        140 |          0 |          9 |        149 |
| lib\features\layout\home\ui                                                                                   |         32 |        778 |          0 |        115 |        893 |
| lib\features\layout\home\ui\views                                                                             |          3 |         87 |          0 |         16 |        103 |
| lib\features\layout\home\ui\widgets                                                                           |         29 |        691 |          0 |         99 |        790 |
| lib\features\layout\inbox                                                                                     |         10 |        275 |          0 |         28 |        303 |
| lib\features\layout\inbox\data                                                                                |          1 |         10 |          0 |          2 |         12 |
| lib\features\layout\inbox\data\models                                                                         |          1 |         10 |          0 |          2 |         12 |
| lib\features\layout\inbox\ui                                                                                  |          9 |        265 |          0 |         26 |        291 |
| lib\features\layout\inbox\ui\views                                                                            |          1 |         16 |          0 |          4 |         20 |
| lib\features\layout\inbox\ui\widgets                                                                          |          8 |        249 |          0 |         22 |        271 |
| lib\features\layout\my_courses                                                                                |         45 |      1,678 |          1 |        173 |      1,852 |
| lib\features\layout\my_courses\cubits                                                                         |          2 |         48 |          0 |         13 |         61 |
| lib\features\layout\my_courses\ui                                                                             |         43 |      1,630 |          1 |        160 |      1,791 |
| lib\features\layout\my_courses\ui\views                                                                       |          7 |        401 |          0 |         33 |        434 |
| lib\features\layout\my_courses\ui\widgets                                                                     |         36 |      1,229 |          1 |        127 |      1,357 |
| lib\features\layout\profile                                                                                   |          5 |        162 |          0 |         18 |        180 |
| lib\features\layout\profile\ui                                                                                |          5 |        162 |          0 |         18 |        180 |
| lib\features\layout\profile\ui\views                                                                          |          1 |         15 |          0 |          4 |         19 |
| lib\features\layout\profile\ui\widgets                                                                        |          4 |        147 |          0 |         14 |        161 |
| lib\features\splash                                                                                           |          1 |         48 |          0 |          7 |         55 |
| lib\features\splash\ui                                                                                        |          1 |         48 |          0 |          7 |         55 |
| lib\features\splash\ui\views                                                                                  |          1 |         48 |          0 |          7 |         55 |
| linux                                                                                                         |          5 |        102 |         33 |         44 |        179 |
| linux (Files)                                                                                                 |          3 |         94 |         24 |         33 |        151 |
| linux\flutter                                                                                                 |          2 |          8 |          9 |         11 |         28 |
| macos                                                                                                         |          6 |        450 |          5 |         16 |        471 |
| macos\Flutter                                                                                                 |          1 |         12 |          3 |          4 |         19 |
| macos\Runner                                                                                                  |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                                                          |          2 |         20 |          0 |          6 |         26 |
| macos\RunnerTests                                                                                             |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                                  |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                               |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                       |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                          |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                           |          2 |         73 |         16 |          7 |         96 |
| windows                                                                                                       |         10 |        436 |         94 |        143 |        673 |
| windows\flutter                                                                                               |          2 |          8 |          9 |         11 |         28 |
| windows\runner                                                                                                |          8 |        428 |         85 |        132 |        645 |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                      | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| g:\flutter_projects\e_learning\README.md                                                                      | Markdown   |         10 |          0 |          7 |         17 |
| g:\flutter_projects\e_learning\analysis_options.yaml                                                          | YAML       |          3 |         22 |          4 |         29 |
| g:\flutter_projects\e_learning\android\app\build.gradle                                                       | Gradle     |         51 |          5 |         12 |         68 |
| g:\flutter_projects\e_learning\android\app\src\debug\AndroidManifest.xml                                      | XML        |          3 |          4 |          1 |          8 |
| g:\flutter_projects\e_learning\android\app\src\main\AndroidManifest.xml                                       | XML        |         35 |         11 |          1 |         47 |
| g:\flutter_projects\e_learning\android\app\src\main\res\drawable-v21\launch_background.xml                    | XML        |          4 |          7 |          2 |         13 |
| g:\flutter_projects\e_learning\android\app\src\main\res\drawable\launch_background.xml                        | XML        |          4 |          7 |          2 |         13 |
| g:\flutter_projects\e_learning\android\app\src\main\res\values-night\styles.xml                               | XML        |          9 |          9 |          1 |         19 |
